month,state,city,sessions
2024-06,Ohio,Elyria,1
2024-06,Ohio,Huron,3
2024-06,Ohio,Kent,1
2024-06,Ohio,Lima,1
2024-06,Ohio,Newark,1
2024-06,Ohio,Portsmouth,1
2024-06,Ohio,Reynoldsburg,1
2024-06,Ohio,Stow,1
2024-06,Ohio,Strongsville,1
2024-06,Oklahoma,Broken Arrow,1
2024-06,Oklahoma,Norman,1
2024-06,Oklahoma,Oklahoma City,6
2024-06,Oklahoma,Tulsa,3
2024-06,Oregon,Astoria,1
2024-06,Oregon,Bandon,1
2024-06,Oregon,Beaverton,1
2024-06,Oregon,Bend,2
2024-06,Oregon,Corvallis,3
2024-06,Oregon,Forest Grove,1
2024-06,Oregon,Hillsboro,2
2024-06,Oregon,Oregon City,1
2024-06,Oregon,Portland,15
2024-06,Pennsylvania,Bethlehem,1
2024-06,Pennsylvania,Blakeslee,1
2024-06,Pennsylvania,Easton,11
2024-06,Pennsylvania,Ephrata,1
2024-06,Pennsylvania,Media,1
2024-06,Pennsylvania,New Kensington,1
2024-06,Pennsylvania,Newport,1
2024-06,Pennsylvania,North East,1
2024-06,Pennsylvania,Philadelphia,17
2024-06,Pennsylvania,Pittsburgh,7
2024-06,Pennsylvania,Sewickley,1
2024-06,Pennsylvania,Warrington,1
2024-06,Pennsylvania,Wayne,1
2024-06,Rhode Island,Pawtucket,1
2024-06,South Carolina,Unknown,10
2024-06,South Carolina,Charleston,1
2024-06,South Carolina,Georgetown,46
2024-06,South Carolina,Greenville,4
2024-06,South Carolina,Lancaster,1
2024-06,South Carolina,Lexington,1
2024-06,South Carolina,Myrtle Beach,41
2024-06,Tennessee,Chattanooga,3
2024-06,Tennessee,Hendersonville,1
2024-06,Tennessee,Johnson City,1
2024-06,Tennessee,Knoxville,1
2024-06,Tennessee,Memphis,3
2024-06,Tennessee,Mount Juliet,1
2024-06,Tennessee,Nashville,6
2024-06,Texas,Unknown,3
2024-06,Texas,Arlington,2
2024-06,Texas,Austin,16
2024-06,Texas,Baytown,1
2024-06,Texas,Boerne,2
2024-06,Texas,Brownsville,2
2024-06,Texas,Bryan,1
2024-06,Texas,Carrollton,2
2024-06,Texas,Converse,2
2024-06,Texas,Dallas,19
2024-06,Texas,El Paso,1
2024-06,Texas,Fort Worth,33
2024-06,Texas,Garland,3
2024-06,Texas,Gonzales,3
2024-06,Texas,Grand Prairie,2
2024-06,Texas,Harlingen,3
2024-06,Texas,Houston,21
2024-06,Texas,Humble,1
2024-06,Texas,Katy,1
2024-06,Texas,Killeen,1
2024-06,Texas,Lewisville,1
2024-06,Texas,Manor,1
2024-06,Texas,McAllen,1
2024-06,Texas,Melissa,1
2024-06,Texas,Mission,1
2024-06,Texas,Pasadena,1
2024-06,Texas,Pflugerville,2
2024-06,Texas,Porter,1
2024-06,Texas,Portland,2
2024-06,Texas,Richardson,4
2024-06,Texas,Round Rock,1
2024-06,Texas,San Antonio,214
2024-06,Texas,Spearman,1
2024-06,Texas,Wichita Falls,2
2024-06,Utah,Eagle Mountain,1
2024-06,Utah,Lehi,1
2024-06,Utah,Midvale,1
2024-06,Utah,Orem,3
2024-06,Utah,Salt Lake City,30
2024-06,Utah,Tooele,1
2024-06,Vermont,Rutland,2
2024-06,Virginia,Unknown,11
2024-06,Virginia,Abingdon,1
2024-06,Virginia,Alexandria,1
2024-06,Virginia,Fairfax,2
2024-06,Virginia,Falls Church,1
2024-06,Virginia,Harrisonburg,1
2024-06,Virginia,Herndon,2
2024-06,Virginia,Leesburg,1
2024-06,Virginia,Manakin,1
2024-06,Virginia,Manassas,1
2024-06,Virginia,Reston,14
2024-06,Virginia,Richmond,2
2024-06,Virginia,Roanoke,1
2024-06,Virginia,Sandston,2
2024-06,Virginia,Tappahannock,199
2024-06,Virginia,Virginia Beach,1
2024-06,Virginia,Williamsburg,1
2024-06,Virginia,Woodbridge,1
2024-06,Washington,Unknown,226
2024-06,Washington,Auburn,1
2024-06,Washington,Belfair,5
2024-06,Washington,Bellevue,3
2024-06,Washington,Bothell,1
2024-06,Washington,George,1
2024-06,Washington,Kirkland,1
2024-06,Washington,Lacey,1
2024-06,Washington,Longview,1
2024-06,Washington,Lynnwood,2
2024-06,Washington,Mercer Island,1
2024-06,Washington,Olympia,1
2024-06,Washington,Poulsbo,1
2024-06,Washington,Seattle,30
2024-06,Washington,Spokane,1
2024-06,Washington,Vancouver,1
2024-06,Washington,Washington,2
2024-06,West Virginia,Williamson,1
2024-06,Wisconsin,Appleton,3
2024-06,Wisconsin,Cedarburg,1
2024-06,Wisconsin,Eau Claire,1
2024-06,Wisconsin,La Crosse,1
2024-06,Wisconsin,Madison,1
2024-06,Wisconsin,Muskego,1
2024-06,Wisconsin,Stone Lake,1
2024-06,Wyoming,Casper,1
2024-06,Wyoming,Laramie,1
2024-07,Unknown,Unknown,855
2024-07,Alabama,Bay Minette,1
2024-07,Alabama,Birmingham,4
2024-07,Alabama,Montgomery,1
2024-07,Arizona,Buckeye,1
2024-07,Arizona,Chandler,1
2024-07,Arizona,Glendale,1
2024-07,Arizona,Peoria,3
2024-07,Arizona,Phoenix,11
2024-07,Arizona,Scottsdale,2
2024-07,Arizona,Tempe,1
2024-07,Arizona,Tucson,4
2024-07,Arkansas,Bella Vista,1
2024-07,Arkansas,Little Rock,2
2024-07,Arkansas,Texarkana,1
2024-07,California,Unknown,2
2024-07,California,Alhambra,3
2024-07,California,Anaheim,8
2024-07,California,Bakersfield,2
2024-07,California,Barstow,4
2024-07,California,Beaumont,1
2024-07,California,Burbank,1
2024-07,California,Camarillo,1
2024-07,California,Canoga Park,1
